Competition,Matchday,Date,Home Team,Away Team,Attendance,Result,Winner
Supercopa,Final,"Sun, 11/01/2026",FC Barcelona,Real Madrid,60.326,3:2,FC Barcelona
LaLiga,10,"Sun, 26/10/2025",Real Madrid,FC Barcelona,78.107,2:1,Real Madrid
LaLiga,35,"Sun, 11/05/2025",FC Barcelona,Real Madrid,50.319,4:3,FC Barcelona
Copa del Rey,Final,"Sat, 26/04/2025",FC Barcelona,Real Madrid,65.080,3:2AET,FC Barcelona
Supercopa,Final,"Sun, 12/01/2025",Real Madrid,FC Barcelona,60.000,2:5,FC Barcelona
LaLiga,11,"Sat, 26/10/2024",Real Madrid,FC Barcelona,78.192,0:4,FC Barcelona
LaLiga,32,"Sun, 21/04/2024",Real Madrid,FC Barcelona,77.981,3:2,Real Madrid
Supercopa,Final,"Sun, 14/01/2024",Real Madrid,FC Barcelona,23.977,4:1,Real Madrid
LaLiga,11,"Sat, 28/10/2023",FC Barcelona,Real Madrid,50.112,1:2,Real Madrid
Copa del Rey,Semi-Finals,"Wed, 05/04/2023",FC Barcelona,Real Madrid,94.902,0:4,Real Madrid
LaLiga,26,"Sun, 19/03/2023",FC Barcelona,Real Madrid,95.745,2:1,FC Barcelona
Copa del Rey,Semi-Finals,"Thu, 02/03/2023",Real Madrid,FC Barcelona,63.000,0:1,FC Barcelona
Supercopa,Final,"Sun, 15/01/2023",Real Madrid,FC Barcelona,68.752,1:3,FC Barcelona
LaLiga,9,"Sun, 16/10/2022",Real Madrid,FC Barcelona,62.876,3:1,Real Madrid
LaLiga,29,"Sun, 20/03/2022",Real Madrid,FC Barcelona,60.017,0:4,FC Barcelona
Supercopa,Semi-Finals,"Wed, 12/01/2022",FC Barcelona,Real Madrid,30.000,2:3AET,Real Madrid
LaLiga,10,"Sun, 24/10/2021",FC Barcelona,Real Madrid,86.422,1:2,Real Madrid
LaLiga,30,"Sat, 10/04/2021",Real Madrid,FC Barcelona,,2:1,Real Madrid
LaLiga,7,"Sat, 24/10/2020",FC Barcelona,Real Madrid,,1:3,Real Madrid
LaLiga,26,"Sun, 01/03/2020",Real Madrid,FC Barcelona,78.237,2:0,Real Madrid
LaLiga,10,"Wed, 18/12/2019",FC Barcelona,Real Madrid,93.426,0:0,Draw
LaLiga,26,"Sat, 02/03/2019",Real Madrid,FC Barcelona,78.921,0:1,FC Barcelona
Copa del Rey,Semi-Finals,"Wed, 27/02/2019",Real Madrid,FC Barcelona,80.472,0:3,FC Barcelona
Copa del Rey,Semi-Finals,"Wed, 06/02/2019",FC Barcelona,Real Madrid,92.008,1:1,Draw
LaLiga,10,"Sun, 28/10/2018",FC Barcelona,Real Madrid,93.265,5:1,FC Barcelona
LaLiga,36,"Sun, 06/05/2018",FC Barcelona,Real Madrid,97.939,2:2,Draw
LaLiga,17,"Sat, 23/12/2017",Real Madrid,FC Barcelona,80.264,0:3,FC Barcelona
Supercopa,Final,"Wed, 16/08/2017",Real Madrid,FC Barcelona,70.000,2:0,Real Madrid
Supercopa,Final,"Sun, 13/08/2017",FC Barcelona,Real Madrid,89.514,1:3,Real Madrid
LaLiga,33,"Sun, 23/04/2017",Real Madrid,FC Barcelona,81.044,2:3,FC Barcelona
LaLiga,14,"Sat, 03/12/2016",FC Barcelona,Real Madrid,98.485,1:1,Draw
LaLiga,31,"Sat, 02/04/2016",FC Barcelona,Real Madrid,98.902,1:2,Real Madrid
LaLiga,12,"Sat, 21/11/2015",Real Madrid,FC Barcelona,80.148,0:4,FC Barcelona
LaLiga,28,"Sun, 22/03/2015",FC Barcelona,Real Madrid,98.760,2:1,FC Barcelona
LaLiga,9,"Sat, 25/10/2014",Real Madrid,FC Barcelona,84.000,3:1,Real Madrid
Copa del Rey,Final,"Wed, 16/04/2014",FC Barcelona,Real Madrid,52.953,1:2,Real Madrid
LaLiga,29,"Sun, 23/03/2014",Real Madrid,FC Barcelona,85.454,3:4,FC Barcelona
LaLiga,10,"Sat, 26/10/2013",FC Barcelona,Real Madrid,98.761,2:1,FC Barcelona
LaLiga,26,"Sat, 02/03/2013",Real Madrid,FC Barcelona,78.000,2:1,Real Madrid
Copa del Rey,Semi-Finals,"Tue, 26/02/2013",FC Barcelona,Real Madrid,95.002,1:3,Real Madrid
